"","Location","Store_Type","Product_Variety","Traffic","Store_Size","Staff_Efficiency","Store_Age","Competitor_Distance","Monthly_Promotions","Economic_Indicator","Marketing_Expense","Monthly_Sales","Location","Cost_Per_Customer","Sales_Per_Customer","x","x"
"32","Sacramento","Electronics",344,1755,210,75.1,27,9,7,101.9,47000,241870,"Sacramento",26.7806267806268,137.817663817664,32,32
"33","Palo Alto","Electronics",331,2893,110,82.1,27,7,4,87.3,7000,203150,"Palo Alto",2.41963359834082,70.2212236432769,33,33
"34","Los Angeles","Electronics",383,1770,368,94.9,8,13,4,60,7000,349080,"Los Angeles",3.95480225988701,197.220338983051,34,34
"35","Los Angeles","Clothing",356,2590,368,56.8,23,6,4,73.9,8000,233120,"Los Angeles",3.08880308880309,90.007722007722,35,35
"36","Sacramento","Grocery",395,2513,136,94.2,3,10,7,70.9,45000,272260,"Sacramento",17.9068842021488,108.340628730601,36,36
"37","Palo Alto","Grocery",475,2569,416,82.2,1,10,6,102.3,30000,382470,"Palo Alto",11.6776956014013,148.878941222265,37,37
"38","Palo Alto","Grocery",627,2579,167,92,27,12,7,92.2,41000,322620,"Palo Alto",15.8976347421481,125.094998061264,38,38
"39","San Francisco","Electronics",590,2192,90,58.2,11,10,5,108.3,24000,230590,"San Francisco",10.948905109489,105.196167883212,39,39
"40","Palo Alto","Electronics",673,2968,89,82.5,25,11,4,103.4,23000,302740,"Palo Alto",7.74932614555256,102.001347708895,40,40
"41","Palo Alto","Grocery",648,2720,128,64.7,11,8,6,97.9,32000,272910,"Palo Alto",11.7647058823529,100.334558823529,41,41
"42","Palo Alto","Electronics",420,2296,481,67.2,5,9,5,92.6,25000,295040,"Palo Alto",10.8885017421603,128.501742160279,42,42
"43","Sacramento","Electronics",372,2277,327,82.8,18,9,6,80,36000,237530,"Sacramento",15.8102766798419,104.317083882301,43,43
"44","Los Angeles","Clothing",471,1863,106,94.1,6,9,7,116.3,42000,225470,"Los Angeles",22.5442834138486,121.025228126677,44,44
"45","Los Angeles","Grocery",524,2507,232,90.8,2,7,7,83.4,37000,254580,"Los Angeles",14.7586757080176,101.547666533706,45,45
"46","San Francisco","Clothing",569,3168,115,54.2,14,10,3,102.5,10000,298260,"San Francisco",3.15656565656566,94.1477272727273,46,46
"47","Palo Alto","Clothing",341,2148,458,53.8,3,9,7,104.6,41000,307220,"Palo Alto",19.0875232774674,143.026070763501,47,47
"48","Sacramento","Electronics",658,1632,345,72.3,18,12,4,95.3,16000,348600,"Sacramento",9.80392156862745,213.602941176471,48,48
"49","Los Angeles","Clothing",609,2140,230,63.2,1,6,7,128.4,36000,285250,"Los Angeles",16.8224299065421,133.294392523364,49,49
"50","San Francisco","Grocery",350,1874,58,68.7,28,4,5,93.9,20000,175450,"San Francisco",10.6723585912487,93.6232657417289,50,50
"51","San Francisco","Electronics",123,2450,201,93,8,14,7,116.2,41000,193790,"San Francisco",16.734693877551,79.0979591836735,51,51
"52","San Francisco","Grocery",743,2364,270,91.3,24,15,4,115.7,14000,329440,"San Francisco",5.92216582064298,139.357021996616,52,52
"53","Palo Alto","Grocery",550,1274,365,76.5,25,14,5,111,13000,370000,"Palo Alto",10.2040816326531,290.423861852433,53,53
"54","Los Angeles","Clothing",689,2753,258,58.7,15,13,6,132.9,45000,310330,"Los Angeles",16.3458045768253,112.724300762804,54,54
"55","Palo Alto","Grocery",587,2079,325,87.4,24,6,8,117,48000,352540,"Palo Alto",23.0880230880231,169.57190957191,55,55
"56","Palo Alto","Electronics",359,1764,345,59.4,24,10,6,93,30000,272660,"Palo Alto",17.0068027210884,154.569160997732,56,56
"57","Los Angeles","Clothing",401,2517,162,74.9,10,10,7,122.7,38000,219760,"Los Angeles",15.0973381009138,87.3102900278109,57,57
"58","Los Angeles","Grocery",626,1814,451,54.2,15,15,6,80,36000,421110,"Los Angeles",19.845644983462,232.144432194046,58,58
"59","Sacramento","Clothing",537,1576,441,87.3,22,11,5,94.1,22000,393860,"Sacramento",13.9593908629442,249.91116751269,59,59
"60","Sacramento","Clothing",330,1754,240,91.3,27,13,4,107.3,12000,235990,"Sacramento",6.84150513112885,134.543899657925,60,60
"61","Los Angeles","Clothing",606,1157,181,85.1,25,11,4,93.9,20000,270800,"Los Angeles",17.286084701815,234.053586862576,61,61
"62","Palo Alto","Electronics",362,2155,85,86.2,24,6,5,94,21000,238370,"Palo Alto",9.74477958236659,110.61252900232,62,62
"63","Los Angeles","Grocery",747,2233,449,78.6,30,7,6,128,35000,404240,"Los Angeles",15.6739811912226,181.03000447828,63,63
"64","San Francisco","Electronics",522,1481,480,69.5,8,7,6,87.5,31000,387570,"San Francisco",20.9318028359217,261.694800810263,64,64
"65","Los Angeles","Electronics",450,1855,57,77.8,16,7,6,91,26000,197630,"Los Angeles",14.0161725067385,106.539083557951,65,65
"66","San Francisco","Clothing",562,1078,479,55.7,8,11,5,82.5,31000,338810,"San Francisco",28.7569573283859,314.294990723562,66,66
"67","San Francisco","Clothing",464,1744,315,52.5,12,7,6,82,27000,324740,"San Francisco",15.4816513761468,186.204128440367,67,67
"68","Palo Alto","Electronics",572,2073,247,55,3,9,5,84.3,23000,334850,"Palo Alto",11.0950313555234,161.529184756392,68,68
"69","Los Angeles","Grocery",406,2293,485,57.6,29,14,7,101.5,41000,325750,"Los Angeles",17.8805058874836,142.062799825556,69,69
"70","Sacramento","Electronics",646,878,400,77.5,5,4,4,93.3,12000,380990,"Sacramento",13.6674259681093,433.929384965831,70,70
"71","Los Angeles","Electronics",521,1997,159,78.6,8,14,7,107.5,36000,285320,"Los Angeles",18.0270405608413,142.874311467201,71,71
"72","Los Angeles","Clothing",702,1385,322,68.1,4,14,6,104.4,39000,390310,"Los Angeles",28.158844765343,281.812274368231,72,72
"73","Sacramento","Grocery",286,1805,74,60.4,30,8,3,100.7,7000,143150,"Sacramento",3.8781163434903,79.3074792243767,73,73
"74","Los Angeles","Grocery",507,2277,55,57.2,30,9,5,84.6,25000,223890,"Los Angeles",10.9793588054458,98.3267457180501,74,74
"75","San Francisco","Electronics",382,1886,188,62.6,2,11,6,117.9,32000,190080,"San Francisco",16.9671261930011,100.784729586426,75,75
"76","Sacramento","Electronics",556,1846,131,84,1,10,8,107.9,42000,288980,"Sacramento",22.7518959913326,156.543878656555,76,76
"77","Sacramento","Electronics",531,2056,93,70.6,16,9,6,121.7,33000,206310,"Sacramento",16.0505836575875,100.3453307393,77,77
"78","Los Angeles","Electronics",691,2999,141,89.1,9,10,4,96.4,10000,311140,"Los Angeles",3.33444481493831,103.747915971991,78,78
"79","Los Angeles","Grocery",526,2615,197,53.9,9,7,7,100.2,45000,280920,"Los Angeles",17.208413001912,107.42638623327,79,79
"80","Palo Alto","Grocery",285,1610,371,62.3,12,12,5,88.2,16000,215400,"Palo Alto",9.93788819875776,133.788819875776,80,80
"81","Los Angeles","Clothing",444,2161,241,50.2,16,11,5,87.7,29000,272610,"Los Angeles",13.419713095789,126.149930587691,81,81
"82","San Francisco","Clothing",747,2268,233,65.8,25,8,4,104.7,17000,319960,"San Francisco",7.49559082892416,141.075837742504,82,82
"83","Sacramento","Electronics",536,2480,212,79.9,23,9,5,80.3,34000,313910,"Sacramento",13.7096774193548,126.576612903226,83,83
"84","Palo Alto","Clothing",362,2020,166,75.2,1,12,4,107.7,13000,239110,"Palo Alto",6.43564356435644,118.371287128713,84,84
"85","Los Angeles","Grocery",272,1387,425,70.5,13,10,5,106.2,15000,325730,"Los Angeles",10.8147080028839,234.844989185292,85,85
"86","Sacramento","Grocery",512,1675,483,62.8,14,8,4,121.5,6000,385290,"Sacramento",3.58208955223881,230.023880597015,86,86
"87","Los Angeles","Grocery",346,2127,386,81.4,11,12,4,110.8,6000,319730,"Los Angeles",2.82087447108604,150.319699106723,87,87
"88","Los Angeles","Grocery",633,2182,119,63.6,23,14,6,90.3,37000,267450,"Los Angeles",16.9569202566453,122.571035747021,88,88
"89","Los Angeles","Grocery",488,1509,137,53.1,23,8,5,101.7,18000,249400,"Los Angeles",11.9284294234592,165.275016567263,89,89
"90","Los Angeles","Grocery",632,1849,261,67.2,17,3,4,105.9,12000,348880,"Los Angeles",6.48999459167117,188.685776095187,90,90
"91","San Francisco","Grocery",632,2015,415,65.4,5,10,7,125.6,47000,425660,"San Francisco",23.3250620347395,211.245657568238,91,91
"92","Sacramento","Clothing",338,1790,51,59.2,29,14,5,89.9,32000,153340,"Sacramento",17.877094972067,85.6648044692737,92,92
"93","Sacramento","Electronics",795,1820,156,63.2,8,10,7,125,44000,357400,"Sacramento",24.1758241758242,196.373626373626,93,93
"94","Palo Alto","Grocery",537,1619,225,74.5,17,12,8,60,49000,309520,"Palo Alto",30.2655960469426,191.179740580605,94,94
"95","Los Angeles","Electronics",354,3227,424,56.7,12,4,4,103,14000,289670,"Los Angeles",4.33839479392625,89.7644871397583,95,95
"96","San Francisco","Electronics",527,1535,290,82.5,10,8,4,110.9,7000,314770,"San Francisco",4.56026058631922,205.061889250814,96,96
"97","Sacramento","Clothing",532,2262,483,56,29,17,3,117.9,6000,340560,"Sacramento",2.6525198938992,150.557029177719,97,97
"98","Palo Alto","Electronics",684,2390,374,84.6,15,10,5,127.3,29000,384020,"Palo Alto",12.1338912133891,160.677824267782,98,98
"99","Palo Alto","Clothing",475,2364,497,71.2,8,7,6,120.3,22000,383220,"Palo Alto",9.30626057529611,162.106598984772,99,99
"100","Los Angeles","Grocery",706,1748,142,83.8,10,7,5,136,22000,310010,"Los Angeles",12.5858123569794,177.351258581236,100,100
"101","Sacramento","Electronics",578,2349,94,51.6,17,10,8,97.4,44000,254690,"Sacramento",18.7313750532141,108.424861643252,101,101
"102","San Francisco","Grocery",274,2356,295,61.4,12,13,4,85.8,11000,193170,"San Francisco",4.66893039049236,81.990662139219,102,102
"103","Sacramento","Clothing",852,2044,219,72.6,26,10,7,103.1,39000,423690,"Sacramento",19.0802348336595,207.284735812133,103,103
"104","Sacramento","Electronics",518,1916,95,72.2,2,8,7,102,45000,227400,"Sacramento",23.4864300626305,118.684759916493,104,104
"105","San Francisco","Grocery",504,1854,134,54.4,18,13,4,96.6,9000,221180,"San Francisco",4.85436893203883,119.298813376483,105,105
"106","San Francisco","Grocery",601,1950,402,86,7,7,5,139.7,24000,322700,"San Francisco",12.3076923076923,165.487179487179,106,106
"107","Palo Alto","Clothing",558,1933,249,56.6,20,8,6,111.3,35000,355620,"Palo Alto",18.1065700982928,183.97309881014,107,107
"108","Palo Alto","Grocery",674,1433,478,67.9,8,8,7,101.7,41000,383640,"Palo Alto",28.6113049546406,267.718073970691,108,108
"109","San Francisco","Electronics",181,2103,154,64.6,4,4,6,113.6,36000,214100,"San Francisco",17.1184022824536,101.806942463148,109,109
"110","Sacramento","Grocery",331,2302,488,73,16,9,3,89.9,9000,362360,"Sacramento",3.90964378801043,157.410947002606,110,110
"111","San Francisco","Grocery",100,2729,257,92.9,27,13,7,96.1,47000,176830,"San Francisco",17.2224257969952,64.7966288017589,111,111
"112","Los Angeles","Clothing",424,2921,266,91.1,19,11,5,76.8,15000,251800,"Los Angeles",5.13522766175967,86.2033550154057,112,112
"113","San Francisco","Grocery",383,1803,152,82,3,16,5,106,35000,211620,"San Francisco",19.4120909595119,117.371048252912,113,113
"114","Palo Alto","Clothing",459,1891,344,71.6,25,6,6,109.9,40000,307400,"Palo Alto",21.1528291909043,162.559492332099,114,114
"115","Palo Alto","Grocery",394,2475,488,50.9,4,16,4,90.4,16000,322760,"Palo Alto",6.46464646464646,130.408080808081,115,115
"116","Los Angeles","Grocery",546,1625,277,81,1,11,7,113.6,36000,268310,"Los Angeles",22.1538461538462,165.113846153846,116,116
"117","San Francisco","Grocery",582,1380,250,86.5,24,7,8,114.2,42000,346320,"San Francisco",30.4347826086957,250.95652173913,117,117
"118","Palo Alto","Electronics",792,2928,143,68.7,14,5,5,74.6,29000,307880,"Palo Alto",9.90437158469945,105.150273224044,118,118
"119","San Francisco","Clothing",625,2123,210,52.4,22,9,7,122.3,33000,319200,"San Francisco",15.5440414507772,150.353273669336,119,119
"120","San Francisco","Electronics",400,1811,230,69.4,23,12,4,95.4,15000,271750,"San Francisco",8.2827167310878,150.055218111541,120,120
"121","San Francisco","Grocery",319,1503,412,69.1,4,14,7,108.4,45000,287560,"San Francisco",29.940119760479,191.324018629408,121,121
"122","San Francisco","Electronics",561,2215,250,93.4,9,9,7,116.8,43000,270100,"San Francisco",19.4130925507901,121.941309255079,122,122
"123","Los Angeles","Clothing",483,2012,240,81.4,16,6,6,82.7,29000,308430,"Los Angeles",14.4135188866799,153.295228628231,123,123
"124","Palo Alto","Grocery",531,1166,162,65.1,29,12,3,95.1,10000,285190,"Palo Alto",8.57632933104631,244.58833619211,124,124
"125","San Francisco","Grocery",546,1817,431,79.2,19,5,5,82.4,26000,345080,"San Francisco",14.3093010456797,189.917446340121,125,125
"126","Sacramento","Electronics",233,2749,336,80.3,17,10,5,82.5,28000,192540,"Sacramento",10.1855220080029,70.0400145507457,126,126
"127","San Francisco","Electronics",631,3169,249,72.7,23,11,7,110,41000,326950,"San Francisco",12.9378352792679,103.171347428211,127,127
"128","Los Angeles","Clothing",469,1951,279,63.6,2,11,7,130.9,38000,269370,"Los Angeles",19.4771911840082,138.067657611481,128,128
"129","San Francisco","Electronics",621,1663,136,85.2,29,5,6,99.6,31000,334010,"San Francisco",18.6410102224895,200.847865303668,129,129
"130","Palo Alto","Clothing",290,2633,107,63,21,11,7,93.7,36000,206970,"Palo Alto",13.6726167869351,78.6061526775541,130,130
"131","Palo Alto","Clothing",641,1520,394,59.8,25,5,6,93.4,32000,389460,"Palo Alto",21.0526315789474,256.223684210526,131,131
"132","Sacramento","Electronics",504,3356,204,82.6,8,13,7,98.3,36000,294680,"Sacramento",10.7270560190703,87.8069129916567,132,132
"133","San Francisco","Grocery",301,1502,442,85.2,4,9,3,115.5,9000,274450,"San Francisco",5.99201065246338,182.723035952064,133,133
"134","Palo Alto","Electronics",563,1939,357,60.1,10,10,5,105.2,25000,324830,"Palo Alto",12.8932439401753,167.524497163486,134,134
"135","Sacramento","Electronics",456,2764,116,61.2,13,9,7,140,49000,234490,"Sacramento",17.7279305354559,84.8371924746744,135,135
"136","San Francisco","Clothing",596,2061,279,50.7,8,9,4,121.5,7000,300730,"San Francisco",3.39640950994663,145.914604560893,136,136
"137","San Francisco","Grocery",499,1601,154,67.8,13,7,3,109.3,12000,292560,"San Francisco",7.49531542785759,182.735790131168,137,137
"138","San Francisco","Grocery",734,2094,135,64.5,13,8,5,94.9,30000,303800,"San Francisco",14.3266475644699,145.081184336199,138,138
"139","Los Angeles","Electronics",242,2515,146,90.3,7,7,8,87,45000,228510,"Los Angeles",17.8926441351889,90.8588469184891,139,139
"140","Palo Alto","Grocery",490,2454,89,66.7,6,15,4,64.9,10000,211710,"Palo Alto",4.07497962510187,86.2713936430318,140,140
"141","San Francisco","Electronics",100,1885,173,77.9,29,9,7,83.9,39000,188830,"San Francisco",20.6896551724138,100.175066312997,141,141
"142","Sacramento","Electronics",590,1894,99,71.7,14,4,6,108.5,23000,323400,"Sacramento",12.1436114044351,170.749736008448,142,142
"143","San Francisco","Grocery",850,2346,276,61.3,22,6,8,108.8,50000,442850,"San Francisco",21.3128729752771,188.768115942029,143,143
"144","Sacramento","Clothing",586,2431,85,85.5,1,10,7,108.4,45000,224430,"Sacramento",18.510900863842,92.3200329082682,144,144
"145","Palo Alto","Electronics",471,2635,256,66.3,3,5,4,90.3,15000,288170,"Palo Alto",5.69259962049336,109.362428842505,145,145
"146","Sacramento","Electronics",192,2984,248,81.9,11,12,8,106.9,48000,160800,"Sacramento",16.0857908847185,53.887399463807,146,146
"147","Sacramento","Grocery",564,1368,227,51,10,13,5,84.3,20000,318360,"Sacramento",14.6198830409357,232.719298245614,147,147
"148","San Francisco","Clothing",398,2399,181,91.3,17,8,8,110.2,44000,257330,"San Francisco",18.3409754064193,107.265527303043,148,148
"149","Palo Alto","Grocery",334,1849,440,86.6,29,17,7,108.5,46000,325070,"Palo Alto",24.8783126014062,175.808545159546,149,149
"150","Los Angeles","Grocery",372,2849,169,58.6,9,6,5,118,29000,246690,"Los Angeles",10.1790101790102,86.5882765882766,150,150
"151","Palo Alto","Grocery",385,2567,400,52.5,28,7,6,113.6,37000,300730,"Palo Alto",14.4137125048695,117.152317880795,151,151
"152","Palo Alto","Grocery",491,1793,256,59.4,18,12,4,88.4,15000,263750,"Palo Alto",8.36586726157278,147.099832682655,152,152
"153","Los Angeles","Grocery",515,1918,151,69.2,9,12,8,103.8,48000,264340,"Los Angeles",25.0260688216893,137.820646506778,153,153
"154","Palo Alto","Grocery",677,2197,276,83.3,4,10,6,108.2,43000,369590,"Palo Alto",19.5721438324989,168.224852071006,154,154
"155","Sacramento","Grocery",677,2392,430,81.5,22,14,6,65.5,33000,446400,"Sacramento",13.7959866220736,186.622073578595,155,155
"156","Los Angeles","Electronics",379,2138,65,75.3,15,9,4,92.3,18000,172680,"Los Angeles",8.41908325537886,80.7670720299345,156,156
"157","Los Angeles","Electronics",246,2167,171,79.3,25,14,6,62.7,30000,173430,"Los Angeles",13.8440239963083,80.0323027226581,157,157
"158","San Francisco","Grocery",403,2702,361,70.3,12,11,6,126.6,28000,248790,"San Francisco",10.3626943005181,92.0762398223538,158,158
"159","San Francisco","Grocery",624,2454,268,86,18,14,8,77.9,44000,370830,"San Francisco",17.9299103504482,151.112469437653,159,159
"160","Los Angeles","Grocery",375,500,134,66.8,16,7,6,90.2,36000,257970,"Los Angeles",72,515.94,160,160
"161","Palo Alto","Electronics",381,2031,327,85.3,5,14,7,95.2,35000,315890,"Palo Alto",17.232890201871,155.534219596258,161,161
"162","Sacramento","Electronics",422,2598,133,53,16,11,7,86,36000,211680,"Sacramento",13.8568129330254,81.4780600461894,162,162
"163","Los Angeles","Clothing",400,1928,133,59.9,1,13,7,88.2,36000,235060,"Los Angeles",18.6721991701245,121.919087136929,163,163
"164","San Francisco","Grocery",593,3067,230,72.6,3,14,6,91.9,36000,286320,"San Francisco",11.7378545810238,93.355070101076,164,164
"165","Palo Alto","Grocery",507,1917,181,85.3,9,8,4,109.4,13000,254120,"Palo Alto",6.78142931664058,132.561293688054,165,165
"166","Los Angeles","Grocery",680,1922,383,50.1,5,10,5,99.1,25000,424790,"Los Angeles",13.0072840790843,221.014568158169,166,166
"167","Palo Alto","Electronics",631,1598,306,61.3,19,8,3,118.1,8000,367030,"Palo Alto",5.00625782227785,229.68085106383,167,167
"168","Palo Alto","Electronics",449,1386,183,61,25,4,3,116,14000,290040,"Palo Alto",10.1010101010101,209.264069264069,168,168
"169","Palo Alto","Grocery",713,1983,344,67.9,19,1,4,104.6,16000,336780,"Palo Alto",8.06858295511851,169.833585476551,169,169
"170","Palo Alto","Clothing",526,1451,490,74.8,30,14,6,92.1,38000,410080,"Palo Alto",26.1888352860096,282.618883528601,170,170
"171","Sacramento","Electronics",488,1419,336,90.4,13,16,7,78.8,49000,355660,"Sacramento",34.5313601127555,250.641296687808,171,171
"172","Los Angeles","Clothing",577,2429,115,56.6,1,17,4,115.5,10000,302600,"Los Angeles",4.11692054343351,124.578015644298,172,172
"173","Los Angeles","Electronics",473,2238,363,78,5,7,6,71.2,42000,354110,"Los Angeles",18.7667560321716,158.226094727435,173,173
"174","San Francisco","Grocery",744,1877,124,61.7,9,5,5,102,23000,360790,"San Francisco",12.2535961640916,192.216302610549,174,174
"175","Palo Alto","Clothing",638,2132,345,81.7,20,10,5,107.9,16000,348310,"Palo Alto",7.5046904315197,163.372420262664,175,175
"176","Sacramento","Clothing",328,2184,354,79.9,12,9,6,94.8,29000,285920,"Sacramento",13.2783882783883,130.915750915751,176,176
"177","Los Angeles","Electronics",655,1527,446,66.4,9,14,5,84.2,19000,396660,"Los Angeles",12.4426981008513,259.764243614931,177,177
"178","San Francisco","Grocery",395,2889,274,71.8,6,12,8,100.7,48000,286530,"San Francisco",16.6147455867082,99.1796469366563,178,178
"179","San Francisco","Electronics",299,1844,418,51.1,16,11,5,72.8,24000,292540,"San Francisco",13.0151843817787,158.644251626898,179,179
"180","Palo Alto","Electronics",489,2377,206,81.2,12,8,7,103.4,44000,249160,"Palo Alto",18.5107278081615,104.821203197308,180,180
"181","Sacramento","Grocery",522,2200,179,86.7,5,13,8,103.8,50000,326220,"Sacramento",22.7272727272727,148.281818181818,181,181
"182","Sacramento","Clothing",640,2021,73,68.9,25,12,6,113.6,37000,260520,"Sacramento",18.3077684314696,128.906481939634,182,182
"183","Los Angeles","Grocery",557,1472,140,52.6,4,2,7,108,40000,297080,"Los Angeles",27.1739130434783,201.820652173913,183,183
"184","Los Angeles","Clothing",311,2643,159,69.6,4,9,6,84.6,23000,242800,"Los Angeles",8.70223231176693,91.8653045781309,184,184
"185","Sacramento","Grocery",770,2275,342,69.3,15,11,3,99.4,7000,394550,"Sacramento",3.07692307692308,173.428571428571,185,185
"186","Los Angeles","Clothing",310,2179,302,73.3,29,10,7,101.8,43000,224450,"Los Angeles",19.7338228545204,103.005966039468,186,186
"187","San Francisco","Grocery",424,1212,170,81.6,27,12,6,119,36000,288860,"San Francisco",29.7029702970297,238.333333333333,187,187
"188","San Francisco","Grocery",474,2121,91,65.3,10,9,5,84.1,18000,266150,"San Francisco",8.48656294200849,125.483262611975,188,188
"189","Sacramento","Electronics",489,2656,361,79.4,30,12,7,118.6,34000,326230,"Sacramento",12.8012048192771,122.827560240964,189,189
"190","Los Angeles","Clothing",683,1977,265,80.5,29,8,6,118.8,35000,325240,"Los Angeles",17.7035912999494,164.511886697016,190,190
"191","Sacramento","Electronics",562,2048,178,72.9,5,8,8,100.7,49000,277460,"Sacramento",23.92578125,135.478515625,191,191
"192","Palo Alto","Grocery",663,1918,330,88.5,22,12,6,106.2,38000,401210,"Palo Alto",19.8123044838373,209.181438998957,192,192
"193","Sacramento","Grocery",567,2221,359,51.9,29,11,6,109.2,33000,354940,"Sacramento",14.858171994597,159.810895992796,193,193
"194","Palo Alto","Grocery",450,2618,208,50,13,12,8,106.7,45000,260630,"Palo Alto",17.1886936592819,99.5530939648587,194,194
"195","Palo Alto","Grocery",320,1509,494,91.8,17,8,7,106.4,41000,323820,"Palo Alto",27.1703114645461,214.592445328032,195,195
"196","Palo Alto","Clothing",755,2944,256,62.5,28,14,6,83.5,36000,399650,"Palo Alto",12.2282608695652,135.750679347826,196,196
"197","Los Angeles","Electronics",737,2274,372,85.4,15,6,5,104.7,17000,376910,"Los Angeles",7.47581354441513,165.747581354442,197,197
"198","Sacramento","Clothing",314,1906,408,85.1,30,11,6,92.8,25000,290700,"Sacramento",13.1164742917104,152.518363064008,198,198
"199","Los Angeles","Clothing",391,1981,497,61.4,25,5,4,111.2,12000,348700,"Los Angeles",6.0575466935891,176.022211004543,199,199
"200","Los Angeles","Grocery",534,1349,209,50.9,20,6,4,107.7,14000,280340,"Los Angeles",10.3780578206079,207.813194959229,200,200
"201","Sacramento","Electronics",441,2354,83,68,25,13,5,100.2,19000,273190,"Sacramento",8.071367884452,116.053525913339,201,201
"202","Los Angeles","Electronics",622,1420,64,64.7,25,15,7,83.7,38000,241430,"Los Angeles",26.7605633802817,170.021126760563,202,202
"203","San Francisco","Clothing",495,2462,197,70.2,26,8,7,117,45000,307350,"San Francisco",18.2778229082047,124.837530463038,203,203
