"","Location","Store_Type","Product_Variety","Traffic","Store_Size","Staff_Efficiency","Store_Age","Competitor_Distance","Monthly_Promotions","Economic_Indicator","Marketing_Expense","Monthly_Sales"
"37","Palo Alto","Grocery",475,2569,416,82.2,1,10,6,102.3,30000,382470
"38","Palo Alto","Grocery",627,2579,167,92,27,12,7,92.2,41000,322620
"39","San Francisco","Electronics",590,2192,90,58.2,11,10,5,108.3,24000,230590
"40","Palo Alto","Electronics",673,2968,89,82.5,25,11,4,103.4,23000,302740
"41","Palo Alto","Grocery",648,2720,128,64.7,11,8,6,97.9,32000,272910
"42","Palo Alto","Electronics",420,2296,481,67.2,5,9,5,92.6,25000,295040
"43","Sacramento","Electronics",372,2277,327,82.8,18,9,6,80,36000,237530
"44","Los Angeles","Clothing",471,1863,106,94.1,6,9,7,116.3,42000,225470
"45","Los Angeles","Grocery",524,2507,232,90.8,2,7,7,83.4,37000,254580
"46","San Francisco","Clothing",569,3168,115,54.2,14,10,3,102.5,10000,298260
"47","Palo Alto","Clothing",341,2148,458,53.8,3,9,7,104.6,41000,307220
"48","Sacramento","Electronics",658,1632,345,72.3,18,12,4,95.3,16000,348600
"49","Los Angeles","Clothing",609,2140,230,63.2,1,6,7,128.4,36000,285250
"50","San Francisco","Grocery",350,1874,58,68.7,28,4,5,93.9,20000,175450
"51","San Francisco","Electronics",123,2450,201,93,8,14,7,116.2,41000,193790
"52","San Francisco","Grocery",743,2364,270,91.3,24,15,4,115.7,14000,329440
"53","Palo Alto","Grocery",550,1274,365,76.5,25,14,5,111,13000,370000
"54","Los Angeles","Clothing",689,2753,258,58.7,15,13,6,132.9,45000,310330
"55","Palo Alto","Grocery",587,2079,325,87.4,24,6,8,117,48000,352540
"56","Palo Alto","Electronics",359,1764,345,59.4,24,10,6,93,30000,272660
"57","Los Angeles","Clothing",401,2517,162,74.9,10,10,7,122.7,38000,219760
"58","Los Angeles","Grocery",626,1814,451,54.2,15,15,6,80,36000,421110
"59","Sacramento","Clothing",537,1576,441,87.3,22,11,5,94.1,22000,393860
"60","Sacramento","Clothing",330,1754,240,91.3,27,13,4,107.3,12000,235990
"61","Los Angeles","Clothing",606,1157,181,85.1,25,11,4,93.9,20000,270800
"62","Palo Alto","Electronics",362,2155,85,86.2,24,6,5,94,21000,238370
"63","Los Angeles","Grocery",747,2233,449,78.6,30,7,6,128,35000,404240
"64","San Francisco","Electronics",522,1481,480,69.5,8,7,6,87.5,31000,387570
"65","Los Angeles","Electronics",450,1855,57,77.8,16,7,6,91,26000,197630
"66","San Francisco","Clothing",562,1078,479,55.7,8,11,5,82.5,31000,338810
"67","San Francisco","Clothing",464,1744,315,52.5,12,7,6,82,27000,324740
"68","Palo Alto","Electronics",572,2073,247,55,3,9,5,84.3,23000,334850
"69","Los Angeles","Grocery",406,2293,485,57.6,29,14,7,101.5,41000,325750
"70","Sacramento","Electronics",646,878,400,77.5,5,4,4,93.3,12000,380990
"71","Los Angeles","Electronics",521,1997,159,78.6,8,14,7,107.5,36000,285320
"72","Los Angeles","Clothing",702,1385,322,68.1,4,14,6,104.4,39000,390310
"73","Sacramento","Grocery",286,1805,74,60.4,30,8,3,100.7,7000,143150
"74","Los Angeles","Grocery",507,2277,55,57.2,30,9,5,84.6,25000,223890
"75","San Francisco","Electronics",382,1886,188,62.6,2,11,6,117.9,32000,190080
"76","Sacramento","Electronics",556,1846,131,84,1,10,8,107.9,42000,288980
"77","Sacramento","Electronics",531,2056,93,70.6,16,9,6,121.7,33000,206310
"78","Los Angeles","Electronics",691,2999,141,89.1,9,10,4,96.4,10000,311140
"79","Los Angeles","Grocery",526,2615,197,53.9,9,7,7,100.2,45000,280920
"80","Palo Alto","Grocery",285,1610,371,62.3,12,12,5,88.2,16000,215400
"81","Los Angeles","Clothing",444,2161,241,50.2,16,11,5,87.7,29000,272610
"82","San Francisco","Clothing",747,2268,233,65.8,25,8,4,104.7,17000,319960
"83","Sacramento","Electronics",536,2480,212,79.9,23,9,5,80.3,34000,313910
"84","Palo Alto","Clothing",362,2020,166,75.2,1,12,4,107.7,13000,239110
"85","Los Angeles","Grocery",272,1387,425,70.5,13,10,5,106.2,15000,325730
"86","Sacramento","Grocery",512,1675,483,62.8,14,8,4,121.5,6000,385290
"87","Los Angeles","Grocery",346,2127,386,81.4,11,12,4,110.8,6000,319730
"88","Los Angeles","Grocery",633,2182,119,63.6,23,14,6,90.3,37000,267450
"89","Los Angeles","Grocery",488,1509,137,53.1,23,8,5,101.7,18000,249400
"90","Los Angeles","Grocery",632,1849,261,67.2,17,3,4,105.9,12000,348880
"91","San Francisco","Grocery",632,2015,415,65.4,5,10,7,125.6,47000,425660
"92","Sacramento","Clothing",338,1790,51,59.2,29,14,5,89.9,32000,153340
"93","Sacramento","Electronics",795,1820,156,63.2,8,10,7,125,44000,357400
"94","Palo Alto","Grocery",537,1619,225,74.5,17,12,8,60,49000,309520
"95","Los Angeles","Electronics",354,3227,424,56.7,12,4,4,103,14000,289670
"96","San Francisco","Electronics",527,1535,290,82.5,10,8,4,110.9,7000,314770
"97","Sacramento","Clothing",532,2262,483,56,29,17,3,117.9,6000,340560
"98","Palo Alto","Electronics",684,2390,374,84.6,15,10,5,127.3,29000,384020
"99","Palo Alto","Clothing",475,2364,497,71.2,8,7,6,120.3,22000,383220
"100","Los Angeles","Grocery",706,1748,142,83.8,10,7,5,136,22000,310010
"101","Sacramento","Electronics",578,2349,94,51.6,17,10,8,97.4,44000,254690
"102","San Francisco","Grocery",274,2356,295,61.4,12,13,4,85.8,11000,193170
"103","Sacramento","Clothing",852,2044,219,72.6,26,10,7,103.1,39000,423690
"104","Sacramento","Electronics",518,1916,95,72.2,2,8,7,102,45000,227400
"105","San Francisco","Grocery",504,1854,134,54.4,18,13,4,96.6,9000,221180
"106","San Francisco","Grocery",601,1950,402,86,7,7,5,139.7,24000,322700
"107","Palo Alto","Clothing",558,1933,249,56.6,20,8,6,111.3,35000,355620
"108","Palo Alto","Grocery",674,1433,478,67.9,8,8,7,101.7,41000,383640
"109","San Francisco","Electronics",181,2103,154,64.6,4,4,6,113.6,36000,214100
"110","Sacramento","Grocery",331,2302,488,73,16,9,3,89.9,9000,362360
"111","San Francisco","Grocery",100,2729,257,92.9,27,13,7,96.1,47000,176830
"112","Los Angeles","Clothing",424,2921,266,91.1,19,11,5,76.8,15000,251800
"113","San Francisco","Grocery",383,1803,152,82,3,16,5,106,35000,211620
"114","Palo Alto","Clothing",459,1891,344,71.6,25,6,6,109.9,40000,307400
"115","Palo Alto","Grocery",394,2475,488,50.9,4,16,4,90.4,16000,322760
"116","Los Angeles","Grocery",546,1625,277,81,1,11,7,113.6,36000,268310
"117","San Francisco","Grocery",582,1380,250,86.5,24,7,8,114.2,42000,346320
"118","Palo Alto","Electronics",792,2928,143,68.7,14,5,5,74.6,29000,307880
"119","San Francisco","Clothing",625,2123,210,52.4,22,9,7,122.3,33000,319200
"120","San Francisco","Electronics",400,1811,230,69.4,23,12,4,95.4,15000,271750
"121","San Francisco","Grocery",319,1503,412,69.1,4,14,7,108.4,45000,287560
"122","San Francisco","Electronics",561,2215,250,93.4,9,9,7,116.8,43000,270100
"123","Los Angeles","Clothing",483,2012,240,81.4,16,6,6,82.7,29000,308430
"124","Palo Alto","Grocery",531,1166,162,65.1,29,12,3,95.1,10000,285190
"125","San Francisco","Grocery",546,1817,431,79.2,19,5,5,82.4,26000,345080
"126","Sacramento","Electronics",233,2749,336,80.3,17,10,5,82.5,28000,192540
"127","San Francisco","Electronics",631,3169,249,72.7,23,11,7,110,41000,326950
"128","Los Angeles","Clothing",469,1951,279,63.6,2,11,7,130.9,38000,269370
"129","San Francisco","Electronics",621,1663,136,85.2,29,5,6,99.6,31000,334010
"130","Palo Alto","Clothing",290,2633,107,63,21,11,7,93.7,36000,206970
"131","Palo Alto","Clothing",641,1520,394,59.8,25,5,6,93.4,32000,389460
"132","Sacramento","Electronics",504,3356,204,82.6,8,13,7,98.3,36000,294680
"133","San Francisco","Grocery",301,1502,442,85.2,4,9,3,115.5,9000,274450
"134","Palo Alto","Electronics",563,1939,357,60.1,10,10,5,105.2,25000,324830
"135","Sacramento","Electronics",456,2764,116,61.2,13,9,7,140,49000,234490
"136","San Francisco","Clothing",596,2061,279,50.7,8,9,4,121.5,7000,300730
"137","San Francisco","Grocery",499,1601,154,67.8,13,7,3,109.3,12000,292560
"138","San Francisco","Grocery",734,2094,135,64.5,13,8,5,94.9,30000,303800
"139","Los Angeles","Electronics",242,2515,146,90.3,7,7,8,87,45000,228510
"140","Palo Alto","Grocery",490,2454,89,66.7,6,15,4,64.9,10000,211710
"141","San Francisco","Electronics",100,1885,173,77.9,29,9,7,83.9,39000,188830
"142","Sacramento","Electronics",590,1894,99,71.7,14,4,6,108.5,23000,323400
"143","San Francisco","Grocery",850,2346,276,61.3,22,6,8,108.8,50000,442850
"144","Sacramento","Clothing",586,2431,85,85.5,1,10,7,108.4,45000,224430
"145","Palo Alto","Electronics",471,2635,256,66.3,3,5,4,90.3,15000,288170
"146","Sacramento","Electronics",192,2984,248,81.9,11,12,8,106.9,48000,160800
"147","Sacramento","Grocery",564,1368,227,51,10,13,5,84.3,20000,318360
"148","San Francisco","Clothing",398,2399,181,91.3,17,8,8,110.2,44000,257330
"149","Palo Alto","Grocery",334,1849,440,86.6,29,17,7,108.5,46000,325070
"150","Los Angeles","Grocery",372,2849,169,58.6,9,6,5,118,29000,246690
"151","Palo Alto","Grocery",385,2567,400,52.5,28,7,6,113.6,37000,300730
"152","Palo Alto","Grocery",491,1793,256,59.4,18,12,4,88.4,15000,263750
"153","Los Angeles","Grocery",515,1918,151,69.2,9,12,8,103.8,48000,264340
"154","Palo Alto","Grocery",677,2197,276,83.3,4,10,6,108.2,43000,369590
"155","Sacramento","Grocery",677,2392,430,81.5,22,14,6,65.5,33000,446400
"156","Los Angeles","Electronics",379,2138,65,75.3,15,9,4,92.3,18000,172680
"157","Los Angeles","Electronics",246,2167,171,79.3,25,14,6,62.7,30000,173430
"158","San Francisco","Grocery",403,2702,361,70.3,12,11,6,126.6,28000,248790
"159","San Francisco","Grocery",624,2454,268,86,18,14,8,77.9,44000,370830
"160","Los Angeles","Grocery",375,500,134,66.8,16,7,6,90.2,36000,257970
"161","Palo Alto","Electronics",381,2031,327,85.3,5,14,7,95.2,35000,315890
"162","Sacramento","Electronics",422,2598,133,53,16,11,7,86,36000,211680
"163","Los Angeles","Clothing",400,1928,133,59.9,1,13,7,88.2,36000,235060
"164","San Francisco","Grocery",593,3067,230,72.6,3,14,6,91.9,36000,286320
"165","Palo Alto","Grocery",507,1917,181,85.3,9,8,4,109.4,13000,254120
"166","Los Angeles","Grocery",680,1922,383,50.1,5,10,5,99.1,25000,424790
"167","Palo Alto","Electronics",631,1598,306,61.3,19,8,3,118.1,8000,367030
"168","Palo Alto","Electronics",449,1386,183,61,25,4,3,116,14000,290040
"169","Palo Alto","Grocery",713,1983,344,67.9,19,1,4,104.6,16000,336780
"170","Palo Alto","Clothing",526,1451,490,74.8,30,14,6,92.1,38000,410080
"171","Sacramento","Electronics",488,1419,336,90.4,13,16,7,78.8,49000,355660
"172","Los Angeles","Clothing",577,2429,115,56.6,1,17,4,115.5,10000,302600
"173","Los Angeles","Electronics",473,2238,363,78,5,7,6,71.2,42000,354110
"174","San Francisco","Grocery",744,1877,124,61.7,9,5,5,102,23000,360790
"175","Palo Alto","Clothing",638,2132,345,81.7,20,10,5,107.9,16000,348310
"176","Sacramento","Clothing",328,2184,354,79.9,12,9,6,94.8,29000,285920
"177","Los Angeles","Electronics",655,1527,446,66.4,9,14,5,84.2,19000,396660
"178","San Francisco","Grocery",395,2889,274,71.8,6,12,8,100.7,48000,286530
"179","San Francisco","Electronics",299,1844,418,51.1,16,11,5,72.8,24000,292540
"180","Palo Alto","Electronics",489,2377,206,81.2,12,8,7,103.4,44000,249160
"181","Sacramento","Grocery",522,2200,179,86.7,5,13,8,103.8,50000,326220
"182","Sacramento","Clothing",640,2021,73,68.9,25,12,6,113.6,37000,260520
"183","Los Angeles","Grocery",557,1472,140,52.6,4,2,7,108,40000,297080
"184","Los Angeles","Clothing",311,2643,159,69.6,4,9,6,84.6,23000,242800
"185","Sacramento","Grocery",770,2275,342,69.3,15,11,3,99.4,7000,394550
"186","Los Angeles","Clothing",310,2179,302,73.3,29,10,7,101.8,43000,224450
"187","San Francisco","Grocery",424,1212,170,81.6,27,12,6,119,36000,288860
"188","San Francisco","Grocery",474,2121,91,65.3,10,9,5,84.1,18000,266150
"189","Sacramento","Electronics",489,2656,361,79.4,30,12,7,118.6,34000,326230
"190","Los Angeles","Clothing",683,1977,265,80.5,29,8,6,118.8,35000,325240
"191","Sacramento","Electronics",562,2048,178,72.9,5,8,8,100.7,49000,277460
"192","Palo Alto","Grocery",663,1918,330,88.5,22,12,6,106.2,38000,401210
"193","Sacramento","Grocery",567,2221,359,51.9,29,11,6,109.2,33000,354940
"194","Palo Alto","Grocery",450,2618,208,50,13,12,8,106.7,45000,260630
"195","Palo Alto","Grocery",320,1509,494,91.8,17,8,7,106.4,41000,323820
"196","Palo Alto","Clothing",755,2944,256,62.5,28,14,6,83.5,36000,399650
"197","Los Angeles","Electronics",737,2274,372,85.4,15,6,5,104.7,17000,376910
"198","Sacramento","Clothing",314,1906,408,85.1,30,11,6,92.8,25000,290700
"199","Los Angeles","Clothing",391,1981,497,61.4,25,5,4,111.2,12000,348700
"200","Los Angeles","Grocery",534,1349,209,50.9,20,6,4,107.7,14000,280340
"201","Sacramento","Electronics",441,2354,83,68,25,13,5,100.2,19000,273190
"202","Los Angeles","Electronics",622,1420,64,64.7,25,15,7,83.7,38000,241430
"203","San Francisco","Clothing",495,2462,197,70.2,26,8,7,117,45000,307350
"204","Sacramento","Electronics",708,2406,140,91.6,26,4,3,107.4,10000,317860
"205","Sacramento","Electronics",658,2860,102,78.1,10,17,7,120.5,46000,327660
"206","Los Angeles","Clothing",357,1860,150,51.7,3,6,5,95.9,23000,209480
"207","Sacramento","Grocery",397,2582,84,81.8,25,9,4,103.3,20000,220630
"208","Palo Alto","Grocery",603,1588,258,90.1,29,16,7,92,37000,348740
"209","Sacramento","Clothing",486,1734,429,70.9,1,10,3,115.2,8000,385030
"210","Palo Alto","Grocery",558,2422,92,66.2,17,11,6,85.7,33000,285980
"211","Palo Alto","Clothing",580,2003,400,55.6,8,9,3,109.4,12000,315690
"212","Los Angeles","Electronics",676,2143,476,75.6,24,7,6,89.5,29000,417880
"213","San Francisco","Electronics",530,1815,491,66.5,19,6,8,95.9,46000,413240
"214","San Francisco","Electronics",248,2004,98,58.9,20,12,7,106.1,37000,207630
"215","Sacramento","Grocery",281,1899,330,52.7,10,13,7,103.4,44000,267840
"216","San Francisco","Electronics",432,2607,185,59.6,29,10,5,136.2,23000,244140
"217","San Francisco","Electronics",458,3057,81,69.4,21,9,4,95.1,11000,245540
"218","San Francisco","Grocery",592,1581,205,83.5,15,7,3,99.3,5000,315690
"219","Los Angeles","Electronics",432,2349,482,61.4,11,18,6,107.4,33000,302670
"220","Palo Alto","Clothing",267,1497,446,75.5,27,1,6,78.7,26000,272670
"221","San Francisco","Electronics",689,1541,100,79.5,6,10,6,111.6,38000,304170
"222","Sacramento","Electronics",316,1960,291,70.5,24,8,6,109.4,35000,280220
"223","San Francisco","Electronics",294,2444,368,73,10,7,3,96.4,8000,277120
"224","Los Angeles","Electronics",496,3325,234,53.8,8,9,8,103.5,45000,273220
"225","San Francisco","Grocery",305,2799,98,52,5,10,6,104.5,37000,194530
"226","Los Angeles","Clothing",535,2585,233,85,8,13,7,100.4,45000,261870
"227","Los Angeles","Grocery",515,1921,234,91.9,23,6,8,102,45000,286560
"228","Sacramento","Electronics",198,3010,330,59.6,25,6,7,105,45000,273070
"229","Palo Alto","Clothing",630,1910,282,72.3,1,10,5,78,22000,296630
"230","Palo Alto","Electronics",359,1916,483,82.1,27,12,7,113.3,34000,345040
"231","San Francisco","Grocery",306,1589,407,93.3,11,10,5,88.5,17000,300390
"232","Sacramento","Clothing",632,1309,234,85.9,15,6,4,101.4,14000,285710
"233","San Francisco","Electronics",612,1094,273,68.1,1,11,6,95.9,23000,377830
"234","Sacramento","Grocery",167,1386,90,54.7,20,17,7,130.4,38000,169910
"235","Palo Alto","Clothing",703,1349,388,70.3,2,5,8,110.5,49000,349930
"236","Palo Alto","Grocery",517,1811,495,56.8,12,11,4,104.7,17000,318010
"237","San Francisco","Clothing",412,1633,292,78.3,16,13,4,112.6,5000,233800
"238","Sacramento","Grocery",626,2828,54,61.9,20,12,6,93.2,31000,223380
"239","San Francisco","Grocery",567,1486,274,81.9,1,7,5,99,24000,324820
"240","Los Angeles","Clothing",796,1564,283,80.1,24,3,6,83.6,37000,371320
"241","San Francisco","Grocery",682,2090,168,71,7,9,4,109.3,11000,288480
"242","Los Angeles","Electronics",413,1823,447,76.4,4,8,7,81,40000,310870
"243","Los Angeles","Clothing",330,2381,140,55.7,14,7,4,104.6,16000,185500
"244","Sacramento","Clothing",503,1531,380,85.9,10,12,7,86,36000,346280
"245","Palo Alto","Clothing",369,1976,474,71,11,12,6,80.1,34000,330750
"246","Palo Alto","Grocery",664,2689,246,73.5,23,8,5,96.3,29000,339860
"247","Palo Alto","Electronics",499,2253,69,52.8,15,11,8,99.1,48000,251190
"248","Palo Alto","Grocery",518,2574,211,94.5,24,10,5,114.4,23000,246000
"249","Palo Alto","Electronics",634,1674,271,69.5,26,8,5,90.3,15000,351780
"250","Palo Alto","Clothing",751,1558,231,73.5,10,7,4,93,5000,401650
"251","Sacramento","Electronics",440,1946,343,86.2,25,8,6,99.3,29000,339250
"252","Los Angeles","Electronics",673,2088,142,90.2,30,10,4,113.9,18000,340000
"253","Palo Alto","Clothing",705,2585,412,59.3,20,13,6,102.7,34000,367510
"254","San Francisco","Grocery",717,2589,438,85.1,27,12,6,99.3,28000,381220
"255","Palo Alto","Clothing",311,2016,229,52.8,24,9,8,87.3,49000,205170
"256","Sacramento","Electronics",424,1884,382,68.4,11,13,6,93.7,38000,332580
"257","Los Angeles","Electronics",321,2185,410,76.8,19,12,6,96.6,33000,268710
"258","Sacramento","Clothing",465,1725,381,54.6,11,8,6,90.2,37000,310740
"259","Sacramento","Electronics",523,1453,95,71.7,7,9,6,94,41000,211710
"260","San Francisco","Electronics",648,1861,478,74.2,28,10,7,95.3,37000,389010
"261","Los Angeles","Clothing",641,1433,143,52.1,15,12,4,116.5,18000,322830
"262","Los Angeles","Grocery",846,2509,180,51.7,30,8,5,102.2,26000,325590
"263","Los Angeles","Grocery",321,2656,268,73.1,25,11,5,67.1,13000,213900
"264","Los Angeles","Electronics",489,2021,431,62.6,20,12,4,123.2,16000,388480
"265","Los Angeles","Clothing",389,1545,305,79.7,25,10,5,110,21000,279070
"266","Los Angeles","Grocery",567,2054,287,76.4,25,11,7,95.5,39000,287650
"267","Sacramento","Grocery",722,2414,249,50.1,16,8,7,101.9,45000,378740
"268","Los Angeles","Clothing",447,2362,191,71.5,15,6,4,94.9,10000,242380
"269","Palo Alto","Clothing",421,2742,153,58.1,30,6,8,103.5,46000,259290
"270","San Francisco","Grocery",544,1826,201,76.6,23,7,4,78,23000,279580
"271","Palo Alto","Electronics",575,2522,135,61.7,15,10,5,90.7,20000,250210
"272","Sacramento","Clothing",622,2132,431,94.7,27,10,6,117.8,29000,400050
"273","Los Angeles","Grocery",698,1695,480,50.8,21,11,4,100.9,8000,451520
"274","Sacramento","Electronics",304,2377,143,91.1,7,12,6,115.4,33000,223780
"275","Sacramento","Grocery",342,1971,452,80.6,28,9,4,96.7,12000,258920
"276","San Francisco","Clothing",431,2109,76,55.5,13,8,5,121.2,29000,259030
"277","Los Angeles","Grocery",379,1543,335,50.8,25,16,6,118,31000,256780
"278","Los Angeles","Grocery",569,1778,393,88.2,26,11,5,84.4,21000,339240
"279","Palo Alto","Clothing",580,1654,174,82,16,12,5,79.1,29000,257540
"280","Los Angeles","Clothing",757,2281,480,88.9,5,9,4,99.4,7000,450390
"281","Los Angeles","Grocery",544,1636,498,78.4,5,12,6,111,33000,411560
"282","Los Angeles","Grocery",756,1940,171,92.6,30,10,5,117.5,27000,396250
"283","San Francisco","Clothing",756,2104,326,90.7,17,14,4,86.3,17000,373470
"284","Sacramento","Electronics",415,1883,412,84.6,11,9,8,99.1,48000,322000
"285","Los Angeles","Grocery",324,1912,66,88.6,20,14,4,86.1,15000,226420
"286","Palo Alto","Grocery",597,1728,135,54.8,30,7,4,88.7,20000,253310
"287","Los Angeles","Grocery",586,2176,212,57.3,16,5,7,119,38000,326790
"288","San Francisco","Grocery",585,1657,200,62.8,23,11,5,135,22000,284590
"289","Sacramento","Electronics",516,2698,149,76.9,25,11,7,91.9,37000,238960
"290","San Francisco","Clothing",100,3033,443,53.4,9,15,4,108.8,6000,246430
"291","San Francisco","Grocery",751,2049,443,60.3,24,8,4,110.7,7000,445390
"292","Palo Alto","Clothing",213,2007,211,52.7,4,11,7,110,43000,199950
"293","Los Angeles","Clothing",384,2038,491,85.7,2,11,6,91.3,29000,348640
"294","Sacramento","Electronics",533,2044,242,50.5,28,14,7,69.7,40000,276720
"295","Los Angeles","Grocery",504,1748,165,61.8,12,11,5,97.4,23000,298410
"296","Los Angeles","Clothing",562,2168,164,86.1,26,12,4,92.5,22000,263030
"297","Los Angeles","Clothing",547,2105,203,68.3,12,9,6,85.4,31000,256520
"298","Los Angeles","Electronics",665,2204,470,54.9,1,11,7,110.2,46000,452440
"299","San Francisco","Grocery",607,2186,317,70.5,14,12,4,101.1,11000,392550
"300","Sacramento","Electronics",848,1776,95,81.8,2,12,5,92.2,17000,322700
"301","Sacramento","Clothing",331,2386,222,78.5,27,10,4,102.8,13000,281070
"302","Palo Alto","Electronics",396,2720,105,86.8,10,13,6,61.3,31000,268480
"303","Los Angeles","Electronics",321,1427,326,61.8,21,8,5,84.6,24000,280810
"304","Palo Alto","Grocery",641,2322,213,80.3,5,11,7,120.1,45000,322950
"305","Sacramento","Grocery",596,1412,98,71.2,18,5,5,100.2,19000,260790
"306","Palo Alto","Clothing",331,2671,376,76.6,15,15,8,117.3,48000,257880
"307","San Francisco","Grocery",527,2338,191,80.7,3,8,5,92.1,16000,258950
"308","Los Angeles","Grocery",749,1477,431,65.8,30,13,6,115.9,36000,423110
"309","Sacramento","Grocery",552,1943,74,50.9,1,13,7,111.1,34000,226690
"310","San Francisco","Clothing",692,1760,419,78.1,21,12,5,134,21000,414460
"311","Sacramento","Grocery",589,2797,486,61.8,30,17,6,117.2,25000,344890
"312","Sacramento","Electronics",362,2262,55,78.9,30,9,3,93.1,7000,161460
"313","Sacramento","Grocery",236,2009,237,78.5,11,11,6,106,37000,164010
"314","Sacramento","Electronics",532,890,75,57.8,16,6,6,113.3,35000,251230
"315","Palo Alto","Grocery",455,2532,65,90.8,23,12,5,77.6,21000,227600
"316","San Francisco","Grocery",705,2934,315,94.8,28,15,4,96.5,10000,341950
"317","Sacramento","Electronics",517,2268,256,88.7,26,12,4,77.1,19000,337680
"318","Los Angeles","Clothing",769,1709,160,89.8,25,8,4,77.3,20000,354170
"319","Sacramento","Electronics",594,1790,73,82.1,30,8,6,107.4,34000,316710
"320","Palo Alto","Clothing",440,2435,104,73.1,9,8,6,121.4,30000,221120
"321","San Francisco","Clothing",347,1147,132,81.4,17,8,5,138.1,25000,260380
"322","Palo Alto","Grocery",479,2249,103,59.3,9,12,5,115.1,29000,252000
"323","Los Angeles","Clothing",466,2241,475,71.9,18,3,8,82.2,49000,396050
"324","Los Angeles","Grocery",550,2384,53,81.3,14,15,4,106.4,10000,294560
"325","Sacramento","Clothing",380,2786,291,83.9,9,10,5,76.6,28000,284210
"326","San Francisco","Clothing",617,1636,206,58.8,16,11,6,115.3,44000,327130
"327","Sacramento","Grocery",501,2290,416,59.9,19,10,6,87.9,23000,369590
"328","Sacramento","Electronics",660,1781,128,94.4,14,10,5,83.4,26000,344050
"329","San Francisco","Electronics",199,2087,332,86.7,11,13,7,73.2,38000,219190
"330","San Francisco","Clothing",487,2743,313,83.5,11,15,4,106.6,12000,319720
"331","Palo Alto","Grocery",352,2167,446,88.9,13,8,5,96.3,19000,282970
"332","Palo Alto","Clothing",535,2127,389,65.3,12,5,5,88.4,29000,373270
"333","San Francisco","Clothing",511,2362,351,51.9,26,2,5,97.9,20000,290830
"334","Sacramento","Grocery",652,1576,398,70.4,20,6,7,121.4,42000,389790
"335","San Francisco","Electronics",506,1392,454,80.2,20,12,6,70.5,31000,376420
"336","Los Angeles","Clothing",198,1923,177,88.6,23,9,8,109.4,48000,215270
